Song Title,Artists,BPM,Comments,Length
"Love Machine","The Miracles","144","70s Classic Soul A-Sides","2:56"

"Love or Leave","The Spinners","110","70s Classic Soul B-Sides","5:01"

"Love Rollercoaster","The Ohio Players","116","70s Classic Soul A-Sides/Pop-Radio/MensSports","2:53"

"Love the One You're With","The Isley Brothers","95","70s Classic Soul A-Sides/Pop-Radio","3:44"

"Love Train","The O'Jays","123","70s Classic Soul A-Sides/Pop-Radio","2:58"

"Lovely Day (Remastered)","Bill Withers","98","70s Classic Soul A-Sides/Pop-Radio","4:13"

"Lovely One","The Jacksons","121","70s Classic Soul A-Sides/Pop-Radio","4:52"

"Love's Theme","The Love Unlimited Orchestra","101","70s Classic Soul B-Sides","3:59"

"Low Rider","War","139","70s Classic Soul A-Sides/Pop-Radio/MensSports","3:13"

"Lowdown","Boz Scaggs","117","70s Classic Soul A-Sides/Pop-Radio","5:16"

"Machine Gun - The Commodores","The Commodores","113","70s Classic Soul B+Sides/Crossover","2:38"

"Madison Avenue","Gil Scott-Heron","112","70s Classic Soul B-Sides","3:09"

"Make It Funky, Pt. 1 (Dj cut 2022)","James Brown","97","70s Classic Soul A-Sides","3:14"

"Make That Move (Radio)","Shalamar","116","70s Classic Soul A-Sides","3:45"

"Make Yours a Happy Home (8ct looper)","Gladys Knight & The Pips","120","70s Classic Soul B-Sides","4:33"

"Mama Feelgood [feat. The J.B.'s]","Lyn Collins","111","70s Classic Soul B-Sides","3:30"

"Mama's Pearl","Jackson 5","102","70s Classic Soul A-Sides/Pop-Radio","3:14"

"Mandolay [Dj Special 2024](4 Phrase)","La Flavour","136","70s Classic Soul B+Sides/Dance","4:42"

"Mary Jane (Dj Cut 2025){Cold Start on orange}","Rick James","93","70s Classic Soul A-Sides/Pop-Radio","5:18"

"Master Blaster (Jammin') (131bpm)","Stevie Wonder","131","70s Classic Soul A-Sides","4:49"

"Me And Baby Brother","War","113","70s Classic Soul A-Sides","3:27"

"Medley: Hey Man/We Got To Get You A Woman","The Four Tops","122","70s Classic Soul B-Sides","7:31"

"Mercy Mercy Me ","Marvin Gaye","93","70s Classic Soul A-Sides","3:16"

"Mister Magic","Esther Phillips","121","70s Classic Soul B-Sides","4:22"

"Money Runner (ends at 132bpm)","Quincy Jones","126","70s Classic Soul B-Sides","3:08"

"Mothership Connection (Star Child)(Tempo Adjusted)","Parliament","89","70s Classic Soul B-Sides","5:51"

"Move On Up [Curtis Mayfield](Dj Cut 2024)","Curtis Mayfield","137","70s Classic Soul A-Sides","2:58"

"Move Your Boogie Body","The Bar-Kays","114","70s Classic Soul B-Sides","6:17"

"Mr. Big Stuff","Jean Knight","91","70s Classic Soul B+Sides/Crossover","2:46"

"My Thang (Dj Cut 2022)","James Brown","102","70s Classic Soul B-Sides","3:57"

"Never Gonna Give You Up (4 Phrase)","Barry White","85","70s Classic Soul B-Sides","4:46"

"Never Knew Love Like This Before (Dj Cut)","Stephanie Mills","114","70s Classic Soul B+Sides/Dance","3:33"

"(Not Just) Knee Deep","Funkadelic","115","70s Classic Soul A-Sides","4:26"

"Nothing from Nothing","Billy Preston","102","70s Classic Soul A-Sides/Pop-Radio","2:37"

"Off the Wall","Michael Jackson","119","70s Classic Soul A-Sides","4:05"

"On and On (Gladys Knight) [Dj Cut 2023]","Gladys Knight & The Pips","106","70s Classic Soul B-Sides","4:24"

"On Broadway (Tempo Adjusted)","George Benson","117","70s Classic Soul A-Sides/Pop-Radio","5:16"

"Once You Get Started [feat. Chaka Khan]","Rufus","121","70s Classic Soul B-Sides","4:28"

"One Bad Apple (Dj Cut 2026)","The Osmonds","101","70s Classic Soul B-Sides/Crossover","3:05"

"One Bourbon, One Scotch, One Beer (John Lee Hooker)","John Lee Hooker","124","70s Classic Soul B-Sides","2:58"

"One Monkey Don't Stop No Show (Pt. 1)","The Honey Cone","116","70s Classic Soul B-Sides","3:31"

"One of a Kind (Love Affair)","The Spinners","89","70s Classic Soul B-Sides","3:21"

"Only You - Teddy Pendergrass","Teddy Pendergrass","121","70s Classic Soul A-Sides/Pop-Radio","4:57"

"Ooh Boy (Dj cut 2022)","Rose Royce","107","70s Classic Soul B+Sides/Crossover","3:46"

"O-o-h Child","The Five Stairsteps","89","70s Classic Soul B+Sides","3:14"

"Oops Upside Your Head (Dj Cut 2025)","The Gap Band","104","70s Classic Soul A-Sides/Pop-Radio","3:43"

"Outa-Space","Billy Preston","116","70s Classic Soul B-Sides","4:11"

"Outlaw","War","131","70s Classic Soul B+Sides/Dance","3:59"

"Papa Don't Take No Mess, Pt. 1","James Brown","95","70s Classic Soul A-Sides","4:23"

"Papa Was a Rolling Stone","The Temptations","121","70s Classic Soul B+Sides","6:59"

"Pick Up the Pieces [12"]","Average White Band","108","70s Classic Soul A-Sides/Pop-Radio","4:00"

"Power Of Love ","Joe Simon","111","70s Classic Soul B-Sides","2:58"

"Pusherman - Curtis Mayfield","Curtis Mayfield","127","70s Classic Soul A-Sides","5:05"

"Put Your Hands Together","The O'Jays","141","70s Classic Soul B+Sides","4:07"

"Rapper's Delight","The Sugarhill Gang","111","70s Classic Soul A-Sides/Pop-Radio/MensSports","14:14"

"Reach For It","George Duke","90","70s Classic Soul B-Sides","4:56"

"Respect Yourself","The Staple Singers","110","70s Classic Soul B-Sides","4:53"

"Rock With You (Cold Start)","Michael Jackson","114","70s Classic Soul A-Sides","3:39"

"Rock With You (DJ Cut 2026)","Michael Jackson","114","70s Classic Soul A-Sides","3:38"

"Rockin' Robin (Jacson 5)(4 phrase DT)","Michael Jackson","87","70s Classic Soul B+Sides/Crossover","2:34"

"Rocksteady (Aretha Franklin) (Tempo adjusted)","Aretha Franklin","104","70s Classic Soul A-Sides/WMSport","3:12"

"Running Away (Dj Cut 2024)","Maze Feat. Frankie Beverly","121","70s Classic Soul A-Sides/Pop-Radio","5:54"

"Sanford & Son Theme (The Streetbeater)","Quincy Jones","114","70s Classic Soul B-Sides","0:56"

"Saturday Nite","Earth, Wind & Fire","106","70s Classic Soul A-Sides/Pop-Radio","4:01"

"School Boy Crush","Average White Band","86","70s Classic Soul B+Sides","5:01"

"Scorpio","Dennis Coffey","119","70s Classic Soul B-Sides","4:07"

"It Seems to Hang On","Ashford & Simpson","114","70s Classic Soul B-Sides","5:13"

"September","Earth, Wind & Fire","126","70s Classic Soul A-Sides/Pop-Radio/MensSports","3:38"

