Song Title,Artists,BPM,Comments,Length
"I Love Rock N' Roll (Dj Cut 2022)","Joan Jett & The Blackhearts","94","80s Rock- A Sides/Classic Rock/WMSport","3:05"

"I Love Rock N' Roll [Cold Start]","Joan Jett & The Blackhearts","94","80s Rock- A Sides/Classic Rock/WMSport","2:56"

"I Melt With You","Modern English","156","80s Rock- A Sides/New Wave/Alt","3:51"

"I Need A Hero Remix","Bonnie Tyler","148","80s Rock- B Sides","5:07"

"I Ran (So Far Away)","A Flock of Seagulls","145","80s Rock- A Sides/New Wave/Alt","3:43"

"I Still Havent Found What Im Looking For (U2)","U2","100","80s Rock- B Sides","4:40"

"I Think We're Alone Now","Tiffany","131","80s Rock- A Sides/New Wave/Alt","3:44"

"I Wanna Have Some Fun","Samantha Fox","122","80s Rock- B Sides","3:56"

"I Wannna Be Sedated - (looper)","The Ramones","82","80s Rock- B Sides/Guitar","2:30"

"I Want a New Drug (Cold Start)","Huey Lewis & The News","110.450000","80s Rock- A Sides/Pop/Classic Rock","3:32"

"I Want a New Drug (Dj Cut 2026)","Huey Lewis & The News","110.450000","80s Rock- A Sides/Pop/Classic Rock","3:40"

"I Want Action - 73","Poison","146","80s Rock- A Sides/Guitar-Alt/New Wave/Alt","3:05"

"I Want Candy (4 Phrase)","Bow Wow Wow","109","80s Rock- B Sides","2:44"

"I Want Your Sex","George Michael","99","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","4:41"

"I Won't Back Down","Tom Petty","114","80s Rock- A Sides/Classic Rock","2:55"

"If You Leave ","O.M.D","120","80s Rock- B Sides","4:28"

"Iko Iko","The Belle Stars","104","80s Rock- B Sides","2:59"

"I'll Tumble 4 Ya","Culture Club","112","80s Rock- A Sides/Pop/New Wave/Alt","2:38"

"I'll Wait (Dj Special 2021 OK)","Van Halen","115","80s Rock- A Sides/Guitar-Alt//Classic Rock/New Wave/Alt","4:10"

"I'm Free (Remastered)","The Soup Dragons","103","80s Rock- B Sides","3:58"

"I'm Gonna Be (500 Miles) (Adj Intro)","The Proclaimers","132.310000","80s Rock- A Sides/MensSports","3:32"

"I'm Still Standing - 177 (4 Phrase)","Elton John","88","80s Rock- A Sides/Classic Rock/MensSports","3:02"

"I'm The Man (Clean) [Dj Cut 2024]","Anthrax","99","80s Rock- B Sides/Guitar-Alt/New Wave/Alt","2:55"

"I'm The Man (Dirty) [Dj Cut 2024]","Anthrax","99","80s Rock- B Sides/Guitar-Alt/New Wave/Alt","2:53"

"I'm Your Man","Wham!","132","80s Rock- A Sides/New Wave/Alt","4:03"

"In a Big Country","Big Country","126","80s Rock- B Sides","3:53"

"In Between Days","The Cure","142","80s Rock- A Sides/New Wave/Alt","2:57"

"In the Air Tonight ('88 Remix)[Cold Start Good]","Phil Collins","94","80s Rock- A Sides/Pop/Classic Rock","5:07"

"In The Air Tonight (Dj Special 2022 short)","Phil Collins","95","80s Rock- A Sides/Pop/Classic Rock","1:41"

